"date"	"total"
1698364800	25.0
1698969600	20.0
1699574400	6.0
1700179200	12.0
1701388800	1.0
1701993600	2.0
1702598400	18.0
1703203200	11.0
1703808000	7.0
1704412800	6.0
1705017600	24.0
1705622400	10.0
